crm_name,crm_address,crm_postcode,crm_city,siret_candidate,score,candidate_name,candidate_addr,candidate_city,candidate_postcode,candidate_insee,rank
Philibert,24 Avenue Barthélémy Thimonnier,69300,CALUIRE-ET-CUIRE,32156236500015,0.9967735409736633,PHILIBERT VOYAGES,24 AVENUE BARTHELEMY THIMONNIER,CALUIRE-ET-CUIRE,69300,69034,5
Philibert,4 rue de Lombardie,69800,SAINT-PRIEST,38854041100013,0.5089901685714722,JYMA,4 RUE DE PROVENCE,SAINT-PRIEST,69800,69290,5
Phoenix OCP Chassieu,38 Avenue des Frères Montgolfier,69680,CHASSIEU,58213743600090,0.9995829463005066,PHOENIX OCP,38 AVENUE DES FRERES MONTGOLFIER,CHASSIEU,69680,69271,1
Phoenix OCP Chassieu,38 Avenue des Frères Montgolfier,69680,CHASSIEU,34478938300025,0.9471851587295532,ALSY,38 AVENUE DES FRERES MONTGOLFIER,CHASSIEU,69680,69271,2
Phoenix OCP Chassieu,38 Avenue des Frères Montgolfier,69680,CHASSIEU,93775759900017,0.9299474954605103,GEROTEL,38 AVENUE DES FRERES MONTGOLFIER,CHASSIEU,69680,69271,3
Phoenix OCP Chassieu,38 Avenue des Frères Montgolfier,69680,CHASSIEU,82363159300014,0.9122164249420166,FLORENT,38 AVENUE DES FRERES MONTGOLFIER,CHASSIEU,69680,69271,4
Phoenix OCP Chassieu,38 Avenue des Frères Montgolfier,69680,CHASSIEU,79068444300019,0.8879576921463013,ROC'HOTEL,38 AVENUE DES FRERES MONTGOLFIER,CHASSIEU,69680,69271,5
Piseo,4 RUE DE L ARSENAL,69200,VENISSIEUX,53820650900027,0.9998905658721924,PISEO,4 RUE DE L'ARSENAL,VENISSIEUX,69200,69259,1
Piseo,4 RUE DE L ARSENAL,69200,VENISSIEUX,39430121200038,0.932203471660614,EGS CLIM,4 RUE DE L'ARSENAL,VENISSIEUX,69200,69259,2
Piseo,4 RUE DE L ARSENAL,69200,VENISSIEUX,31179489500103,0.8831263780593872,MARBRERIE DURIN PRUVOST,4 RUE DE L'ARSENAL,VENISSIEUX,69200,69259,3
Piseo,4 RUE DE L ARSENAL,69200,VENISSIEUX,45350703000048,0.7958436012268066,LINET FRANCE,4 RUE DE L'ARSENAL,VENISSIEUX,69200,69259,4
Piseo,4 RUE DE L ARSENAL,69200,VENISSIEUX,83395940600079,0.752650260925293,S.T.M SOCIETE DE TRANSPORTS MARSEILLAIS,4 RUE DE L'ARSENAL,VENISSIEUX,69200,69259,5
Planétarium,place de la Nation,69120,VAULX EN VELIN,21690256900799,0.9003452062606812,PLANETARIM,PL DE LA NATION,VAULX EN VELIN,69120,69256,1
Planétarium,place de la Nation,69120,VAULX EN VELIN,44125691400025,0.8907886147499084,ASS,PL DE LA NATION,VAULX EN VELIN,69120,69256,2
Planétarium,place de la Nation,69120,VAULX EN VELIN,42884979800015,0.6406570076942444,ASUL V V AVIRON,CHE DE LA BLETTA,VAULX EN VELIN,69120,69256,3
Planétarium,place de la Nation,69120,VAULX EN VELIN,48453112400010,0.5567886233329773,SIRET 48453112400010,PL DE LA NATION,VAULX EN VELIN,69120,69256,4
Planétarium,place de la Nation,69120,VAULX EN VELIN,51817962700014,0.5567886233329773,SIRET 51817962700014,PL DE LA NATION,VAULX EN VELIN,69120,69256,5
