crm_name,crm_address,crm_postcode,crm_city,siret_candidate,score,candidate_name,candidate_addr,candidate_city,candidate_postcode,candidate_insee,candidate_state,candidate_last_treatment_date,rank,shap
BUFAB FRANCE,21 Avenue du 24 Août 1944,69960,CORBAS,35323743100054,0.9951477646827698,BUFAB FRANCE,36 ROUTE DE LYON,CORBAS,69960,69273,FERME,2025-07-08 17:47:37,2,
BUFAB FRANCE,21 Avenue du 24 Août 1944,69960,CORBAS,43500581400015,0.990608811378479,FRANCE INOX BUFAB,13 AV DU 24 AOUT 1944,CORBAS,69960,69273,FERME,2024-03-22 15:40:57,3,
BUFAB FRANCE,21 Avenue du 24 Août 1944,69960,CORBAS,43500581400023,0.989654004573822,FRANCE INOX BUFAB,36 RTE DE LYON,CORBAS,69960,69273,FERME,2024-03-22 15:40:57,4,
BUFAB FRANCE,21 Avenue du 24 Août 1944,69960,CORBAS,35323743100013,0.9873005747795105,BUFAB FRANCE,657 RUE DU CARREAU,CORBAS,69960,69273,FERME,2025-01-28 02:44:53,5,
Babolat Corbas,1 avenue du 24 Aout 1944,69960,CORBAS,55213140100101,0.9990739822387695,BABOLAT VS,1 AVENUE DU 24 AOUT 1944,CORBAS,69960,69273,OUVERT,2024-03-30 07:29:58,1,
Babolat Corbas,1 avenue du 24 Aout 1944,69960,CORBAS,55213140100101,0.9990739822387695,BABOLAT VS,1 AVENUE DU 24 AOUT 1944,CORBAS,69960,69273,OUVERT,2024-03-30 07:29:58,1,
Babolat Corbas,1 avenue du 24 Aout 1944,69960,CORBAS,55213140100101,0.9990739822387695,BABOLAT VS,1 AVENUE DU 24 AOUT 1944,CORBAS,69960,69273,OUVERT,2024-03-30 07:29:58,1,
Babolat Corbas,1 avenue du 24 Aout 1944,69960,CORBAS,32274915100278,0.904172420501709,LACOMBE TRANSPORTS INTERNATIONAUX,1 AV DU 24 AOUT 1944,CORBAS,69960,69273,FERME,2025-01-21 02:52:54,2,
Babolat Corbas,1 avenue du 24 Aout 1944,69960,CORBAS,32274915100278,0.904172420501709,LACOMBE TRANSPORTS INTERNATIONAUX,1 AV DU 24 AOUT 1944,CORBAS,69960,69273,FERME,2025-01-21 02:52:54,2,
Babolat Corbas,1 avenue du 24 Aout 1944,69960,CORBAS,32274915100278,0.904172420501709,LACOMBE TRANSPORTS INTERNATIONAUX,1 AV DU 24 AOUT 1944,CORBAS,69960,69273,FERME,2025-01-21 02:52:54,2,
Babolat Corbas,1 avenue du 24 Aout 1944,69960,CORBAS,34459795000031,0.8641716837882996,FES,1 AVENUE DU 24 AOUT 1944,CORBAS,69960,69273,FERME,2024-03-30 11:18:50,3,
Babolat Corbas,1 avenue du 24 Aout 1944,69960,CORBAS,34459795000031,0.8641716837882996,FES,1 AVENUE DU 24 AOUT 1944,CORBAS,69960,69273,FERME,2024-03-30 11:18:50,3,
Babolat Corbas,1 avenue du 24 Aout 1944,69960,CORBAS,34459795000031,0.8641716837882996,FES,1 AVENUE DU 24 AOUT 1944,CORBAS,69960,69273,FERME,2024-03-30 11:18:50,3,
Babolat Corbas,1 avenue du 24 Aout 1944,69960,CORBAS,95450547500036,0.8391379714012146,ETABLISSEMENTS G. DURRSCHMIDT,1 AVENUE DU 24 AOUT 1944,CORBAS,69960,69273,FERME,2024-03-30 06:08:28,4,
Babolat Corbas,1 avenue du 24 Aout 1944,69960,CORBAS,95450547500036,0.8391379714012146,ETABLISSEMENTS G. DURRSCHMIDT,1 AVENUE DU 24 AOUT 1944,CORBAS,69960,69273,FERME,2024-03-30 06:08:28,4,
Babolat Corbas,1 avenue du 24 Aout 1944,69960,CORBAS,95450547500036,0.8391379714012146,ETABLISSEMENTS G. DURRSCHMIDT,1 AVENUE DU 24 AOUT 1944,CORBAS,69960,69273,FERME,2024-03-30 06:08:28,4,
Babolat Corbas,1 avenue du 24 Aout 1944,69960,CORBAS,37932444500012,0.7820568084716797,COMITE D'ENTREPRISE DUMSCHMIDT,1 AVENUE DU 24 AOUT 1944,CORBAS,69960,69273,OUVERT,2025-02-03 02:24:48,5,
Babolat Corbas,1 avenue du 24 Aout 1944,69960,CORBAS,37932444500012,0.7820568084716797,COMITE D'ENTREPRISE DUMSCHMIDT,1 AVENUE DU 24 AOUT 1944,CORBAS,69960,69273,OUVERT,2025-02-03 02:24:48,5,
Babolat Corbas,1 avenue du 24 Aout 1944,69960,CORBAS,37932444500012,0.7820568084716797,COMITE D'ENTREPRISE DUMSCHMIDT,1 AVENUE DU 24 AOUT 1944,CORBAS,69960,69273,OUVERT,2025-02-03 02:24:48,5,
Blanc-Rosset Lyon,5 RUE DU MONT BLANC,69960,CORBAS,98401778000011,0.9889625906944275,MHT,5 RUE DU MONT BLANC,CORBAS,69960,69273,OUVERT,2024-04-10 10:50:58,1,
Blanc-Rosset Lyon,5 RUE DU MONT BLANC,69960,CORBAS,30139418500047,0.9805185794830322,LE PERE BLANC ALPES VOLAILLES,1 RUE DU MONT BLANC,CORBAS,69960,69273,FERME,2024-03-22 15:40:57,2,
Blanc-Rosset Lyon,5 RUE DU MONT BLANC,69960,CORBAS,40400979700055,0.8154900670051575,MAISON LANDRIER PERE BLANC,5 RUE DU MONT BLANC,CORBAS,69960,69273,OUVERT,2025-03-27 13:06:58,3,
Blanc-Rosset Lyon,5 RUE DU MONT BLANC,69960,CORBAS,79470553300063,0.774564802646637,RAS 250,5 RUE DU MONT BLANC,CORBAS,69960,69273,OUVERT,2025-01-17 02:31:34,4,
Blanc-Rosset Lyon,5 RUE DU MONT BLANC,69960,CORBAS,32456999500016,0.7666054964065552,SYLVAINE MARCHE,5 RUE DU MONT BLANC,CORBAS,69960,69273,FERME,2024-03-22 15:40:57,5,
CAMSP de Décines  APAJH,15 AVENUE FRANKLIN ROOSEVELT,69150,DECINES CHARPIEU,78457968202902,0.9995419979095459,FEDERATION APAJH,15 AVENUE FRANKLIN ROOSEVELT,DECINES-CHARPIEU,69150,69275,OUVERT,2025-01-18 02:17:49,1,
CAMSP de Décines  APAJH,15 AVENUE FRANKLIN ROOSEVELT,69150,DECINES CHARPIEU,33402687900075,0.9747841358184814,APAJH,16 RUE SULLY,DECINES-CHARPIEU,69150,69275,FERME,2025-01-14 02:19:49,2,
CAMSP de Décines  APAJH,15 AVENUE FRANKLIN ROOSEVELT,69150,DECINES CHARPIEU,38832234900019,0.9528448581695557,JKSG,15 AVENUE FRANKLIN ROOSEVELT,DECINES-CHARPIEU,69150,69275,FERME,2024-03-30 15:59:34,3,
CAMSP de Décines  APAJH,15 AVENUE FRANKLIN ROOSEVELT,69150,DECINES CHARPIEU,49012842800011,0.8605076670646667,P.M.H.,127 AVENUE FRANKLIN ROOSEVELT,DECINES-CHARPIEU,69150,69275,FERME,2024-03-30 18:45:29,4,
CAMSP de Décines  APAJH,15 AVENUE FRANKLIN ROOSEVELT,69150,DECINES CHARPIEU,90445380000016,0.7793002724647522,ANK DISTRIBUTIONS,17 AVENUE FRANKLIN ROOSEVELT,DECINES-CHARPIEU,69150,69275,FERME,2025-02-19 13:08:41,5,
CAP VI CORBAS,2 Avenue de l Industrie,69960,CORBAS,31857056100163,0.9989099502563477,CAP V.I,18 AVENUE DE L'INDUSTRIE,CORBAS,69960,69273,OUVERT,2025-09-04 09:56:04,1,
CAP VI CORBAS,2 Avenue de l Industrie,69960,CORBAS,31857056100064,0.9855843186378479,CAP V.I,47 AVENUE GABRIEL PERI,CORBAS,69960,69273,FERME,2025-02-15 02:10:19,2,
CAP VI CORBAS,2 Avenue de l Industrie,69960,CORBAS,21690273400013,0.9535404443740845,MAIRIE,PL CHARLES JOCTEUR,CORBAS,69960,69273,OUVERT,2024-03-30 03:33:42,3,
CAP VI CORBAS,2 Avenue de l Industrie,69960,CORBAS,52472544700022,0.9281086325645447,CAP VALO,5 RUE AMPERE,CORBAS,69960,69273,FERME,2024-03-22 15:40:57,4,
CAP VI CORBAS,2 Avenue de l Industrie,69960,CORBAS,43877412700056,0.8788251280784607,CAP TERRE,1 IMPASSE DU RHONE,CORBAS,69960,69273,FERME,2024-03-30 04:34:39,5,
CHAMPILYON,69 Rue Marcel Merieux,69960,CORBAS,38388325300023,0.9998729228973389,CHAMPILYON,69 RUE MARCEL MERIEUX,CORBAS,69960,69273,OUVERT,2025-01-15 02:08:54,1,
CHAMPILYON,69 Rue Marcel Merieux,69960,CORBAS,43533987400024,0.997833788394928,CHAMPI TOMM,69 RUE MARCEL MERIEUX,CORBAS,69960,69273,OUVERT,2025-02-11 02:29:30,2,
CHAMPILYON,69 Rue Marcel Merieux,69960,CORBAS,79249138300016,0.9897407293319702,DU 41,69 RUE MARCEL MERIEUX,CORBAS,69960,69273,OUVERT,2024-03-30 11:11:13,3,
CHAMPILYON,69 Rue Marcel Merieux,69960,CORBAS,84146910900018,0.9892380237579346,VERT FRAMBOISE,69 RUE MARCEL MERIEUX,CORBAS,69960,69273,OUVERT,2025-10-13 19:16:06,4,
CHAMPILYON,69 Rue Marcel Merieux,69960,CORBAS,79468653500038,0.9866397976875305,LYON SAVEURS,69 RUE MARCEL MERIEUX,CORBAS,69960,69273,OUVERT,2025-01-18 02:07:00,5,
CHARCUTERIE TRAITEUR SELECTION,7 Avenue de Montmartin,69960,CORBAS,95039687900088,0.9996569156646729,CTS,5 AVENUE DE MONTMARTIN,CORBAS,69960,69273,FERME,2025-10-29 10:16:54,1,
CHARCUTERIE TRAITEUR SELECTION,7 Avenue de Montmartin,69960,CORBAS,87910748000037,0.9903806447982788,RY2C,7 AVENUE DE MONTMARTIN,CORBAS,69960,69273,OUVERT,2024-08-05 13:50:06,2,
CHARCUTERIE TRAITEUR SELECTION,7 Avenue de Montmartin,69960,CORBAS,95039687900054,0.9646691679954529,CTS,31 RUE DE LA VANOISE,CORBAS,69960,69273,FERME,2024-03-29 23:00:45,3,
CHARCUTERIE TRAITEUR SELECTION,7 Avenue de Montmartin,69960,CORBAS,31446535200032,0.9174721240997314,CSL,LES TAILLIS,CORBAS,69960,69273,OUVERT,2025-01-24 02:54:38,4,
