crm_name,crm_address,crm_postcode,crm_city,siret_candidate,score,candidate_name,candidate_addr,candidate_city,candidate_postcode,candidate_insee,rank,shap
FRANCE VIANDES,30 Avenue du 24 Août 1944,69960,CORBAS,48482143400046,0.9442191123962402,VIENNE VIANDE,5 AVENUE DE MONTMARTIN,CORBAS,69960,69273,3,
FRANCE VIANDES,30 Avenue du 24 Août 1944,69960,CORBAS,92150150800029,0.7418248653411865,LA HALLE DES VIANDES,7 RUE DES MARRONNIERS,CORBAS,69960,69273,4,
FRANCE VIANDES,30 Avenue du 24 Août 1944,69960,CORBAS,41447724000058,0.6189526915550232,SOCIETE D'EXPLOITATION CHENNAH VIANDE,29 RUE MARCEL MERIEUX,CORBAS,69960,69273,5,
FRIGO TRANSPORTS 69,Rue de la Vanoise,69960,CORBAS,34450958300052,0.9990335702896118,FRIGO TRANSPORTS 69,RUE DE LA VANOISE,CORBAS,69960,69273,1,
FRIGO TRANSPORTS 69,Rue de la Vanoise,69960,CORBAS,45285394800035,0.9911516308784485,LOGISTIQUE TRANSPORTS FRIGO MARCEL OMONT,4 RUE DU MONT BLANC,CORBAS,69960,69273,2,
FRIGO TRANSPORTS 69,Rue de la Vanoise,69960,CORBAS,89746951600016,0.969844400882721,LES FRIGOS DU RHONE,51 RUE MARCEL MERIEUX,CORBAS,69960,69273,3,
FRIGO TRANSPORTS 69,Rue de la Vanoise,69960,CORBAS,84357049000022,0.8916246294975281,RORI CORBAS,69 RUE MARCEL MERIEUX,CORBAS,69960,69273,4,
FRIGO TRANSPORTS 69,Rue de la Vanoise,69960,CORBAS,32902163800229,0.664207398891449,STAT,38 AVENUE DU 24 AOUT 1944,CORBAS,69960,69273,5,
FRUITAS SANCHEZ,69 Rue Marcel Mérieux,69960,CORBAS,31554738000024,0.9995800852775574,FRUTAS SANCHEZ,69 RUE MARCEL MERIEUX,CORBAS,69960,69273,1,
FRUITAS SANCHEZ,69 Rue Marcel Mérieux,69960,CORBAS,51112302800017,0.9947848916053772,RHONE FRUITS,69 RUE MARCEL MERIEUX,CORBAS,69960,69273,2,
FRUITAS SANCHEZ,69 Rue Marcel Mérieux,69960,CORBAS,53194863600018,0.9894604682922363,GIE DU MARCHE DE GROS LYON CORBAS,69 RUE MARCEL MERIEUX,CORBAS,69960,69273,3,
FRUITAS SANCHEZ,69 Rue Marcel Mérieux,69960,CORBAS,89124205900014,0.988413393497467,GE FRUITS HOLDING,69 RUE MARCEL MERIEUX,CORBAS,69960,69273,4,
FRUITAS SANCHEZ,69 Rue Marcel Mérieux,69960,CORBAS,50743546900022,0.9825930595397949,RHONE ALPES FRUITS ET LEGUMES,69 RUE MARCEL MERIEUX,CORBAS,69960,69273,5,
Filmor,33 Avenue Franklin Roosevelt,69150,DECINES CHARPIEU,53257969500018,0.96962970495224,HYBAT,33 AVENUE FRANKLIN ROOSEVELT,DECINES-CHARPIEU,69150,69275,1,
Filmor,33 Avenue Franklin Roosevelt,69150,DECINES CHARPIEU,21690275900010,0.7993337512016296,MAIRIE,PLACE ROGER SALENGRO,DECINES-CHARPIEU,69150,69275,2,
Filmor,33 Avenue Franklin Roosevelt,69150,DECINES CHARPIEU,83013558800036,0.5671413540840149,CHARPENTERIE LYONNAISE,133 AVENUE FRANKLIN ROOSEVELT,DECINES-CHARPIEU,69150,69275,3,
Filmor,33 Avenue Franklin Roosevelt,69150,DECINES CHARPIEU,39950094100030,0.5659536719322205,HYBELE,33 AVENUE FRANKLIN ROOSEVELT,DECINES-CHARPIEU,69150,69275,4,
Filmor,33 Avenue Franklin Roosevelt,69150,DECINES CHARPIEU,52237889200015,0.5510662794113159,PB3,133 AVENUE FRANKLIN ROOSEVELT,DECINES-CHARPIEU,69150,69275,5,
G. JACQUEMMOZ ET FILS Corbas,43 Avenue Gabriel Péri,69960,CORBAS,30385874000051,0.9995352029800415,G. JACQUEMMOZ ET FILS,43 AVENUE GABRIEL PERI,CORBAS,69960,69273,1,
G. JACQUEMMOZ ET FILS Corbas,43 Avenue Gabriel Péri,69960,CORBAS,77574144000579,0.7399129867553711,STRICHER,43 AVENUE GABRIEL PERI,CORBAS,69960,69273,2,
G. JACQUEMMOZ ET FILS Corbas,43 Avenue Gabriel Péri,69960,CORBAS,30057104900554,0.603482723236084,PETIT FORESTIER LOCATION,43 AVENUE GABRIEL PERI,CORBAS,69960,69273,3,
G. JACQUEMMOZ ET FILS Corbas,43 Avenue Gabriel Péri,69960,CORBAS,41823597400023,0.5347533822059631,B.J.P.,43 RUE DE L AVIATION,CORBAS,69960,69273,4,
G. JACQUEMMOZ ET FILS Corbas,43 Avenue Gabriel Péri,69960,CORBAS,31045504300524,0.523921012878418,FRANCE BOISSONS RHONE ALPES,73 RUE MARCEL MERIEUX,CORBAS,69960,69273,5,
